Wine,Price,Body,Tannins,Fruit,Acid
Mission Hill Five Vineyards Pinot Blanc VQA,16.75,N/A,N/A,fruity,N/A
Mission Hill Five Vineyards Pinot Noir,18.45,N/A,N/A,berry,N/A
Pelee Island Lighthouse Riesling VQA,13.45,N/A,N/A,stone fruit,high acidity
Pelee Island Lighthouse Cabernet Franc VQA,13.95,N/A,N/A,berry,N/A
Inniskillin Riesling Pinot Grigio VQA,14.45,light body,N/A,stone fruit,low acidity
Cusumano Syrah IGT,13.9,N/A,N/A,berry,N/A
Marchesi de' Frescobaldi Tenuta di Castiglioni,21.95,N/A,low tannins,fruity,N/A
Passion Of Portugal Red,8.85,N/A,N/A,berry,low acidity
Villa Maria Private Bin Pinot Noir Marlborough,20.05,N/A,N/A,berry,low acidity
Fielding Riesling VQA,16.95,N/A,N/A,stone fruit,N/A
20 Bees Cabernet Merlot VQA,20.15,N/A,N/A,berry,N/A
Eastdell Black Cab VQA,24.95,N/A,low tannins,berry,low acidity
13th Street Cuvée Brut Rosé,29.95,N/A,N/A,fruity,high acidity
13th Street June's Vineyard Riesling 2016,19.95,full body,N/A,stone fruit,high acidity
Taylor Fladgate 20-Year-Old Tawny Port,69.95,full body,N/A,stone fruit,N/A
The Foreign Affair The Conspiracy,19.95,full body,N/A,N/A,high acidity
B & G Partager Blanc,14.95,light body,N/A,stone fruit,high acidity
Donini Trebbiano Chardonnay,14.75,N/A,N/A,citrus,high acidity
Donini Merlot,14.75,light body,N/A,N/A,high acidity
Weingut Burg Ravensburg Husarenkappe 2013,52.3,full body,N/A,tropical fruit,high acidity
Chateau Saint-Germain Bordeaux Superieur AOC,16.45,N/A,N/A,berry,N/A
Martini & Rossi Asti,26.05,light body,N/A,stone fruit,low acidity
Masi Campofiorin IGT,21.95,N/A,N/A,fruity,low acidity
Baron-Fuenté Grand Millésime Brut Champagne 2009,59.95,full body,N/A,N/A,high acidity
Perrier-Jouët Grand Brut Champagne,73.95,light body,N/A,citrus,low acidity
Marchesi di Barolo Barbaresco 2014,37.95,light body,N/A,N/A,high acidity
Fat Bastard Syrah Pays d'Oc,4.95,N/A,N/A,berry,low acidity
Kedem Winery King David Sacramental KP,12.05,full body,N/A,fruity,N/A
Terra Vega Sauvignon Blanc KPM,10.25,N/A,N/A,citrus,N/A
Ferreira Dona Antonia Tawny Reserve Port,19.75,N/A,N/A,N/A,N/A
Montes Reserva Cabernet Sauvignon,12.85,full body,N/A,berry,N/A
Laurent Miquel Pere Et Fils Chardonnay d'Oc,12.95,N/A,N/A,citrus,N/A
Azienda Agraria Campanella Reo Superb 2010,28.6,light body,N/A,berry,high acidity
Copper Moon Pinot Grigio,10.95,N/A,N/A,stone fruit,low acidity
Laurent-Perrier Cuvée Brut Rosé Champagne,99.95,N/A,N/A,citrus,high acidity
Alianca Bairrada Reserva,8.95,N/A,N/A,fruity,N/A
Louis Max Beaucharme Bourgogne Pinot Noir 2016,26.95,N/A,N/A,fruity,N/A
Jean-Marc Brocard Vau de Vay Chablis 1er Cru 2015,39.95,N/A,N/A,stone fruit,N/A
Trecione 2013,22.3,N/A,low tannins,N/A,low acidity
Orlando Abrigo Barbaresco Rongalio 2009,78.25,full body,low tannins,N/A,high acidity
Castello Di Neive Barbaresco DOCG,28.1,N/A,N/A,berry,N/A
Donini Merlot,10.45,light body,N/A,N/A,high acidity
Tilia Malbec,13.95,N/A,N/A,berry,N/A
Domaine Jean Bousquet Malbec Organic,14.0,full body,N/A,berry,N/A
Trivento Malbec Reserve,13.15,N/A,N/A,fruity,low acidity
Henkell Trocken,25.95,N/A,N/A,citrus,N/A
Louis Jadot Bourgogne Pinot Noir,26.95,light body,N/A,N/A,N/A
Pascual Toso Limited Edition Malbec,17.2,N/A,N/A,berry,low acidity
Piat D'Or Chardonnay,19.95,N/A,N/A,citrus,high acidity
Misterio Cabernet Sauvignon,10.0,N/A,low tannins,fruity,N/A
Sandbanks Sleeping Giant Foch-Baco Noir VQA,19.95,N/A,N/A,N/A,N/A
Louis Jadot Chardonnay Macon-Villages,21.95,N/A,N/A,citrus,high acidity
Fielding Unoaked Chardonnay,15.95,N/A,N/A,tropical fruit,high acidity
Delaforce Fine Ruby Port,14.95,N/A,N/A,N/A,N/A
Graffigna Pinot Grigio,13.45,N/A,N/A,citrus,low acidity
Argento Cabernet Sauvignon Reserva,14.4,N/A,N/A,berry,low acidity
Chivite Gran Feudo Rose,11.45,N/A,N/A,citrus,high acidity
Fazi Battaglia Verdicchio Dei Castelli Di Jesi DOC,20.8,N/A,N/A,stone fruit,high acidity
LAN Crianza,14.95,medium body,N/A,N/A,N/A
Pelee Island Rouge,15.95,N/A,N/A,N/A,high acidity
C'est La Vie! Pinot Noir Syrah,12.95,N/A,N/A,fruity,N/A
Albert Bichot Bourgogne Pinot Noir AOC,17.95,N/A,N/A,N/A,N/A
Dandelion Vineyards Lionheart of the Barossa Shiraz,21.95,full body,N/A,berry,N/A
Vineland Estates Dry Riesling VQA,14.95,N/A,N/A,stone fruit,high acidity
Freixenet Cordon Negro Brut Cava,4.75,N/A,N/A,citrus,high acidity
Marchesi di Barolo La Tradizione Barolo,42.95,N/A,N/A,N/A,N/A
Fuzion Alta Torrontes Pinot Grigio,11.45,N/A,N/A,citrus,low acidity
Carmen Reserva 1850 Premier Carménère,12.25,N/A,N/A,N/A,high acidity
Banrock Station Pink Moscato Rosé,10.95,light body,N/A,berry,low acidity
Zonin Ripasso Valpolicella Superiore DOC,19.0,full body,low tannins,fruity,N/A
Grand Sud Merlot,11.8,N/A,N/A,berry,low acidity
La Ferme du Mont Le Ponnant Côtes du Rhône-Villages 2017,22.95,full body,N/A,N/A,N/A
Boutari Agiorgitiko Nemea,14.05,N/A,N/A,berry,N/A
Southbrook Triomphe Organic Chardonnay,22.95,N/A,N/A,stone fruit,low acidity
Boutari Moschofilero White,14.05,light body,N/A,stone fruit,low acidity
Tawse Sketches of Niagara Rosé,17.95,light body,N/A,citrus,high acidity
Copper Moon Merlot,10.95,light body,N/A,berry,high acidity
Funf 5 Riesling Rhein,11.2,N/A,N/A,stone fruit,high acidity
Girls' Night Out Pineapple Mango Tango,7.95,N/A,N/A,citrus,N/A
Velletri Terre Di Volsci Riserva DOP,14.95,medium body,N/A,berry,low acidity
Wente Morning Fog Chardonnay,19.95,N/A,N/A,tropical fruit,low acidity
Folonari Soave DOC,10.95,N/A,N/A,citrus,high acidity
Muga Reserva,26.95,full body,N/A,berry,N/A
Sandbanks Shoreline White VQA,14.95,light body,N/A,stone fruit,low acidity
Sandbanks Cabernet Franc VQA,15.95,N/A,N/A,berry,high acidity
13th Street Gamay,19.95,N/A,N/A,berry,N/A
Il Botolo Chardonnay 2014,22.65,N/A,N/A,N/A,N/A
Batasiolo Barolo DOCG,31.95,N/A,N/A,berry,N/A
MontGras Carmenere Reserva,12.0,full body,low tannins,berry,low acidity
Open Sauvignon Blanc VQA,12.95,N/A,N/A,citrus,N/A
Drappier Brut Nature Pinot Noir Champagne,57.95,N/A,N/A,berry,high acidity
Tini Sangiovese Romagna DOC,7.95,N/A,N/A,berry,N/A
Freixenet Cordon Negro Brut Cava,26.95,N/A,N/A,citrus,high acidity
Lindemans Bin 95 Sauvignon Blanc,10.95,N/A,N/A,N/A,high acidity
Feudi San Pio Ripasso Valpolicella Classico Superiore 2016,17.95,N/A,N/A,N/A,N/A
Megalomaniac Homegrown Riesling VQA,13.95,N/A,N/A,stone fruit,high acidity
Hob Nob Pinot Noir Pays D'OC,12.95,N/A,N/A,berry,high acidity
Mirassou Pinot Noir,14.95,N/A,low tannins,berry,low acidity
B & G Partager Rouge,14.95,N/A,N/A,fruity,low acidity
Jip Jip Rocks Shiraz/Cabernet 2017,16.95,N/A,high tannins,berry,high acidity
J. Lohr Fog's Reach Pinot Noir 2014,39.25,N/A,N/A,berry,high acidity
Silver Point Sauvignon Blanc,14.9,full body,N/A,citrus,N/A
PJ's Original Cream (Panama Jack's),24.95,full body,N/A,N/A,N/A
Sawmill Creek Pinot Grigio Chardonnay,16.95,N/A,N/A,citrus,low acidity
First Press Napa Cabernet Sauvignon,29.95,N/A,N/A,fruity,N/A
Inniskillin Merlot VQA,15.95,full body,N/A,fruity,low acidity
Gato Negro Cabernet Sauvignon,9.45,N/A,N/A,berry,low acidity
Los Ricos Vineyard Cabernet Sauvignon 2013,137.8,N/A,N/A,berry,N/A
Kloovenburg Shiraz 2014,26.3,N/A,N/A,fruity,N/A
Kloovenburg Merlot 2014,22.25,N/A,N/A,fruity,N/A
Wyndham Estate Bin 555 Shiraz,14.95,N/A,N/A,berry,N/A
Tinpot Hut Syrah 2013,29.9,medium body,low tannins,fruity,N/A
Pietranera Brunello di Montalcino 2013,45.95,N/A,low tannins,berry,N/A
Champagne Victoire Brut Prestige,39.95,N/A,N/A,fruity,low acidity
Vincenzi Chardonnay Kosher,18.4,N/A,N/A,fruity,N/A
PKNT Carmenère Reserve,11.9,N/A,N/A,berry,low acidity
PKNT Cabernet Sauvignon Reserve,11.9,N/A,N/A,fruity,N/A
Malivoire Guilty Men Riesling Sauvignon Blanc VQA,11.05,N/A,N/A,citrus,high acidity
Gloria Ferrer Sonoma Brut,29.25,full body,N/A,berry,N/A
Quinta Sao Simao Aguieira 2012,13.35,N/A,N/A,fruity,N/A
Enzo Vincenzo Valpolicella Ripasso DOC,16.2,light body,low tannins,berry,N/A
Villa Sandi Prosecco DOC,10.6,N/A,N/A,stone fruit,high acidity
Manischewitz Concord K,13.3,N/A,low tannins,N/A,N/A
Decero Cabernet Sauvignon 2014,19.95,full body,low tannins,N/A,high acidity
Tollo Colle Secco Montepulciano D'Abruzzo DOC,9.85,N/A,N/A,berry,low acidity
Sandeman Late Bottled Vintage Port,13.4,N/A,N/A,berry,high acidity
Karamolegos Terra Nera Mandilaria Red 2015,23.15,N/A,N/A,N/A,N/A
Peller Family Vineyards Cabernet Merlot,3.75,N/A,N/A,berry,high acidity
Peller Family Vineyards Chardonnay,3.6,medium body,N/A,citrus,high acidity
Henschke Henry's Seven 2014,49.35,N/A,N/A,berry,low acidity
Huff Estates Cuvée Peter F. Huff 2015,32.25,N/A,N/A,citrus,N/A
Tawse Quarry Road Organic Riesling,22.95,N/A,N/A,stone fruit,N/A
Lord Rutherford Pinot Noir 2013,35.8,full body,N/A,berry,N/A
Domaine Autrand Côtes du Rhône-Villages 2016,15.95,N/A,N/A,N/A,N/A
Konzelmann Pinot Noir VQA,14.95,N/A,low tannins,berry,low acidity
Azienda Agricola Il Botolo Barbera D'Asti Superiore Nizza DOCG 2013,45.45,N/A,N/A,N/A,N/A
Henkell Rose,14.95,N/A,N/A,citrus,low acidity
Atma White 2015,17.85,N/A,low tannins,tropical fruit,high acidity
Gatao Vinho Verde,9.1,N/A,N/A,citrus,high acidity
Caliterra Tributo Cabernet Sauvignon 2016,17.95,N/A,N/A,fruity,high acidity
Casas del Bosque Reserva Carmenère 2017,15.95,N/A,N/A,berry,high acidity
Baron Herzog Chenin Blanc KPM,13.95,N/A,N/A,N/A,N/A
13th Street White Palette 2017,15.95,N/A,N/A,stone fruit,N/A
Fuzion Alta Reserva Cabernet Sauvignon,11.45,N/A,N/A,N/A,N/A
L'Ambiance Red,35.95,N/A,N/A,berry,high acidity
Sonoma-Cutrer Russian River Valley Pinot Noir 2015,40.0,medium body,high tannins,berry,high acidity
Zenato Veneto Rosso IGT,14.1,N/A,N/A,berry,low acidity
Norman Hardie Unfiltered Niagara Pinot Noir 2016,45.2,light body,N/A,berry,N/A
Columbia Crest H3 Merlot 2016,19.95,N/A,N/A,N/A,N/A
Columbia Crest H3 Cabernet Sauvignon,19.95,N/A,N/A,fruity,high acidity
Jacob's Creek Chardonnay Pinot Noir Sparkling,14.95,N/A,N/A,stone fruit,high acidity
Zanchi Armane Amelia Rosso DOC 2013,24.75,N/A,low tannins,N/A,N/A
Moscatel De Favaios 10 Years,36.05,full body,N/A,citrus,N/A
De Chanceny Cremant De Loire Rose Brut,20.15,N/A,low tannins,citrus,high acidity
McManis Cabernet Sauvignon,17.95,N/A,N/A,fruity,N/A
Georges Duboeuf Beaujolais AOC,13.45,N/A,N/A,berry,low acidity
Martini Sweet Vermouth Red,19.05,N/A,N/A,citrus,N/A
Pasqua Pinot Grigio Delle Venezie DOC,12.95,N/A,N/A,citrus,high acidity
Santa Carolina Specialties Dry Farming Carignan 2013,18.95,N/A,high tannins,citrus,high acidity
Georges Duboeuf Beaujolais Brouilly,18.75,N/A,N/A,berry,high acidity
Cave Spring Blanc de Blancs Brut Sparkling,29.95,light body,N/A,fruity,high acidity
Girls' Night Out Strawberry Samba,13.95,N/A,N/A,berry,N/A
L'Epayrie Blanc,11.25,N/A,N/A,fruity,low acidity
L'Epayrie Special Reserve Rouge,11.25,N/A,N/A,berry,high acidity
Eastdell Gamay Noir VQA,14.95,N/A,N/A,berry,high acidity
Black Tower Rivaner,14.45,N/A,N/A,citrus,high acidity
Cinzano Rosso Sweet Vermouth,13.75,N/A,N/A,citrus,N/A
Martini & Rossi Sweet Vermouth Red,14.05,N/A,N/A,N/A,N/A
Martini & Rossi Sweet Vermouth Red,8.5,N/A,N/A,citrus,N/A
Harveys Bristol Cream Sherry,16.45,N/A,N/A,N/A,low acidity
La Chablisienne Les Vénérables Vieilles Vignes,26.95,N/A,N/A,citrus,N/A
Girls' Night Out Sparkling VQA,11.05,full body,N/A,stone fruit,N/A
Codorniu Brut Clasico,14.45,N/A,N/A,citrus,high acidity
Pelee Island Ruggles Run Gamay Zweigelt VQA,13.45,N/A,N/A,berry,high acidity
Pelee Island Chardonnay Reserve VQA,13.95,N/A,N/A,citrus,high acidity
Castello di Gabbiano Riserva Chianti Classico 2014,22.95,N/A,N/A,berry,N/A
Guinea Fowl Red 2013,23.7,N/A,N/A,fruity,high acidity
Freixenet Carta Nevada Brut Cava,13.45,N/A,N/A,citrus,low acidity
Freixenet Cordon Negro Brut Cava,13.45,N/A,N/A,citrus,high acidity
Barefoot Bubbly Pinot Grigio,14.9,N/A,N/A,citrus,high acidity
Segura Viudas Brut Reserva Cava,15.95,full body,N/A,fruity,N/A
Pol Roger Brut Champagne,67.9,N/A,N/A,citrus,high acidity
Mumm Cuvee Napa Brut Prestige,29.95,N/A,N/A,citrus,N/A
Brights President Dry Sparkling,10.95,N/A,N/A,N/A,low acidity
Henry Of Pelham Cuvée Catharine Rosé Brut VQA,32.95,N/A,N/A,citrus,high acidity
Henry Of Pelham Cuvée Catharine Brut VQA,32.95,N/A,N/A,citrus,high acidity
Kittling Ridge Icewine & Brandy,4.0,N/A,N/A,stone fruit,N/A
Jackson-Triggs Méthode Cuve Close Sparkling,15.95,N/A,N/A,fruity,high acidity
Chateau de Montgueret Cremant de Loire Brut,19.95,medium body,N/A,citrus,N/A
Cook's Brut Sparkling,12.25,light body,N/A,stone fruit,N/A
Domaine Chandon Brut Classic,31.7,N/A,N/A,citrus,high acidity
Martini Bianco Vermouth,12.05,N/A,N/A,citrus,high acidity
Santa Rita 120 Reserva Especial Cabernet Sauvignon,11.75,N/A,N/A,berry,N/A
35° South Cabernet Sauvignon Merlot Organic,12.95,light body,N/A,fruity,low acidity
Domaine Jean Bousquet Cabernet Sauvignon Organic,15.0,N/A,N/A,berry,N/A
White House Wine Co. Riesling Pinot Grigio VQA,13.95,light body,N/A,citrus,low acidity
Red House Wine Co. Cabernet Shiraz VQA,13.95,N/A,low tannins,fruity,N/A
Vetus Do Toro 2014,37.05,N/A,N/A,fruity,N/A
Konzelmann Pinot Blanc VQA,14.95,N/A,N/A,stone fruit,high acidity
Inniskillin Late Autumn Riesling VQA,12.95,N/A,N/A,stone fruit,N/A
Fontana Di Papa White,8.35,light body,N/A,citrus,low acidity
Fontana Di Papa Red,8.35,N/A,low tannins,fruity,N/A
Gehringer Brothers Dry Rock Vineyards Unoaked Chardonnay 2017,19.95,N/A,N/A,N/A,N/A
Ascheri Barbera D'Alba DOC,15.05,N/A,N/A,berry,N/A
Cavaliere D'Oro Gabbiano Chianti Classico DOCG,19.05,medium body,N/A,berry,high acidity
Catedral Reserva Dao,11.95,N/A,N/A,berry,low acidity
Armand de Brignac Ace of Spades Brut Gold Champagne,305.95,full body,N/A,N/A,N/A
Ruffino Orvieto Classico,23.75,N/A,low tannins,citrus,high acidity
Trius Sauvignon Blanc VQA,15.95,N/A,N/A,citrus,high acidity
Robert Mondavi Fumé Blanc,22.95,N/A,N/A,N/A,N/A
Spirit of Sushi 2015,13.0,light body,N/A,stone fruit,low acidity
The Pavillion Shiraz Cabernet Sauvignon,11.95,N/A,N/A,berry,low acidity
Arrocal AC Joven 2015,17.25,N/A,low tannins,berry,high acidity
Fielding Pinot Grigio  VQA,14.95,N/A,N/A,citrus,N/A
Hunawihr Kuhlmann-Platz Vieilles Vignes Pinot Gris 2017,20.95,N/A,N/A,N/A,N/A
Château des Charmes Brut Sparkling,25.95,light body,N/A,stone fruit,high acidity
Delas Saint-Esprit Côtes du Rhône Rosé 2017,16.95,N/A,N/A,N/A,N/A
Sartori Corte Brà Amarone della Valpolicella Classico 2011,53.95,N/A,N/A,N/A,N/A
Groth Hillview Vineyard Chardonnay 2015,64.95,light body,N/A,citrus,N/A
Sandbanks Baco Noir Reserve VQA,19.95,N/A,N/A,N/A,N/A
Pelee Island Secco VQA,14.95,N/A,N/A,stone fruit,high acidity
Bear Flag Smooth Red Blend,13.95,N/A,N/A,berry,N/A
Hahn Pinot Noir Monterey,17.5,N/A,N/A,berry,low acidity
Sterling Vintner's Pinot Noir,16.95,N/A,N/A,berry,N/A
Wolf Blass Yellow Label Chardonnay,15.95,N/A,N/A,N/A,N/A
Rodney Strong Sonoma County Chardonnay 2016,22.95,N/A,N/A,tropical fruit,N/A
Pelee Pebbles Vidal Hibernal,14.95,N/A,N/A,stone fruit,N/A
Cave Spring Chardonnay VQA,15.95,medium body,N/A,stone fruit,low acidity
Cave Spring Gamay VQA,16.95,N/A,N/A,berry,high acidity
Yellow Tail Bubbles,14.95,N/A,N/A,stone fruit,low acidity
Yellow Tail Bubbles Rosé,14.95,N/A,N/A,citrus,low acidity
Folonari Pinot Grigio,13.95,N/A,N/A,citrus,high acidity
A to Z Wineworks Pinot Noir,24.95,N/A,N/A,N/A,N/A
Graffigna Malbec,14.25,N/A,low tannins,fruity,N/A
Cono Sur Chardonnay Organic,13.95,medium body,N/A,tropical fruit,high acidity
Fontella Chianti DOCG,14.95,N/A,N/A,berry,high acidity
Cupcake Chardonnay,15.95,N/A,N/A,tropical fruit,low acidity
Bartenura Moscato,17.8,N/A,N/A,stone fruit,N/A
"Beso De Vino Seleccion, Carinena DO",9.95,light body,N/A,berry,N/A
Tio Pepe Extra Dry Fino,18.9,N/A,N/A,citrus,N/A
Vineland Estates Semi-Dry Riesling VQA,14.95,light body,N/A,stone fruit,low acidity
Soutiran Brut Signature Grand Cru,69.85,N/A,medium tannins,stone fruit,N/A
Louis M. Martini Napa Valley Cabernet Sauvignon,37.95,full body,N/A,berry,N/A
Yangarra Estate Grown Shiraz 2013,34.95,N/A,N/A,berry,N/A
Alcance Bravura 2013,59.35,full body,N/A,fruity,N/A
Alcance Gran Reserva Carmenère 2014,34.75,N/A,N/A,fruity,N/A
Alcance Gran Reserva Merlot 2014,34.75,light body,N/A,N/A,low acidity
Hob Nob Chardonnay Pays d'Oc,11.95,N/A,N/A,citrus,N/A
Knee Deep Kim's Chardonnay 2013,57.8,N/A,N/A,stone fruit,high acidity
Knee Deep Chenin Blanc 2015,29.1,light body,N/A,stone fruit,high acidity
Rockford Frugal Farmer 2014,43.45,N/A,N/A,N/A,N/A
Boomtown Syrah 2017,23.95,N/A,N/A,berry,N/A
Cave Spring Riesling Dry VQA,14.95,N/A,N/A,citrus,high acidity
Martin Berdugo MB 2011,53.7,light body,medium tannins,fruity,N/A
Schmitt Sohne Mosel Gold Riesling,10.9,N/A,N/A,stone fruit,high acidity
Martin Berdugo Reserva 2010,38.15,N/A,medium tannins,berry,N/A
Jackson-Triggs Entourage Grand Reserve Brut 2015,29.95,N/A,N/A,citrus,high acidity
Barefoot Moscato,10.95,N/A,N/A,stone fruit,low acidity
Apothic Red,16.95,N/A,N/A,berry,N/A
Trapiche Broquel Malbec,14.95,N/A,N/A,fruity,N/A
Terres De Saint Louis Rose Varois En Provence AOC,11.0,light body,N/A,citrus,low acidity
Cave Spring Riesling VQA,15.95,N/A,N/A,stone fruit,high acidity
Nemea Reserve Red 2008,22.0,medium body,N/A,N/A,low acidity
Gérard Bertrand Cabernet Sauvignon Pays d'Oc,14.0,N/A,N/A,fruity,N/A
Venica Sauvignon Cero 2015,44.85,N/A,N/A,stone fruit,high acidity
Pfaffl Zeiseneck DAC 2015,22.3,light body,N/A,citrus,high acidity
Trapiche Cabernet Sauvignon,10.95,N/A,N/A,fruity,N/A
Pfaffl Vom Haus White 2015,19.7,light body,N/A,citrus,high acidity
Pfaffl Wien.1 2015,20.85,N/A,N/A,N/A,high acidity
13th Street June's Vineyard Chardonnay 2017,21.95,N/A,low tannins,stone fruit,N/A
Saint Clair Family Estate Sauvignon Blanc,18.95,N/A,N/A,citrus,high acidity
Big House The Birdman Pinot Grigio,13.95,N/A,N/A,stone fruit,N/A
Goats do Roam White,11.95,medium body,N/A,stone fruit,high acidity
Schreiber Riesling Sonnenberg Dry 2014,18.6,N/A,N/A,fruity,high acidity
Schreiber Earth Riesling 2014,18.6,N/A,N/A,stone fruit,high acidity
Hex Vom Dasenstein Grauburgunder 2015,20.65,N/A,N/A,fruity,high acidity
Villa Heynburg Chardonnay Dry 2014,30.3,N/A,N/A,stone fruit,high acidity
Hex Vom Dasenstein Rivaner 2015,15.1,N/A,N/A,citrus,N/A
Hex Vom Dasenstein Rosé 2015,18.55,N/A,N/A,berry,N/A
Frisky Zebras Seductive Shiraz,9.95,N/A,N/A,berry,low acidity
Wakefield St. Andrews Chardonnay 2016,34.95,full body,N/A,stone fruit,N/A
Liebfraumilch Drathen Qualitatswein Rheinhessen,16.1,N/A,N/A,fruity,high acidity
Dog Point Chardonnay 2014,43.95,full body,N/A,citrus,N/A
Aveleda Vinho Verde Fonte,19.95,N/A,N/A,citrus,high acidity
Sledgehammer Cabernet Sauvignon,15.95,N/A,N/A,berry,N/A
Sogrape Grao Vasco Dao,16.95,N/A,N/A,N/A,N/A
Alianca Foral Douro,8.95,N/A,N/A,berry,N/A
Oggi Botter Moscato Frizzante IGT,10.95,N/A,N/A,stone fruit,low acidity
Beringer Main & Vine White Zinfandel,10.95,N/A,N/A,citrus,low acidity
Arrayan Premium 2008,36.3,N/A,N/A,berry,N/A
Kourtakis Apelia Moschofilero White Peloponnese IGP,11.95,N/A,N/A,stone fruit,high acidity
Arrayan La Suerte 2013,27.2,light body,N/A,berry,high acidity
Sottano Reserva Cabernet Sauvignon 2014,26.6,N/A,low tannins,tropical fruit,N/A
Montresor Amarone Della Valpolicella DOC,37.95,N/A,N/A,berry,N/A
Castillo de Mendoza Noralba Tinto Crianza Organic 2013,25.6,N/A,N/A,berry,N/A
Castillo de Mendoza Autor Organic 2013,36.65,N/A,N/A,berry,high acidity
Santa Julia Reserva Cabernet Sauvignon,13.95,medium body,N/A,berry,N/A
Welgemeend Amade 2014,24.1,N/A,low tannins,N/A,high acidity
Beronia Tempranillo Rioja,13.95,N/A,low tannins,fruity,N/A
Kressmann Selection Chardonnay,16.45,N/A,N/A,citrus,N/A
Ladies Who Shoot Their Lunch Wild Ferment Shiraz 2016,34.95,N/A,N/A,berry,N/A
Creation Wines Pinot Noir 2015,36.5,light body,N/A,N/A,high acidity
Thornbury Rose 2015,18.9,N/A,N/A,fruity,high acidity
Vinedos Singulares Jardin Rojo 2014,17.3,N/A,low tannins,fruity,high acidity
Sandbanks Rosé VQA,13.95,N/A,N/A,berry,N/A
El Veinat 2014,19.25,N/A,N/A,N/A,high acidity
Santa Carolina Cabernet Sauvignon Merlot,8.95,N/A,N/A,fruity,N/A
Les Jamelles Merlot Pays d'Oc,14.95,N/A,N/A,fruity,N/A
Chapoutier Belleruche CdRhone White AOC,17.05,N/A,N/A,stone fruit,N/A
Cave Spring Estate Bottled Chardonnay Musqué,17.95,N/A,N/A,tropical fruit,high acidity
Arrocal Passión 2012,25.5,N/A,N/A,berry,N/A
Sawmill Creek Pinot Grigio Chardonnay,40.95,N/A,N/A,citrus,low acidity
Nugan Estate Third Generation Merlot 2014,13.05,N/A,N/A,N/A,N/A
Henry of Pelham Family Tree Red 2017,18.95,N/A,low tannins,berry,N/A
Pfaffl Austrian Plum 2015,18.6,N/A,N/A,berry,N/A
Pfaffl Austrian Chrystal 2015,18.6,light body,N/A,fruity,N/A
Pfaffl Austrian Apple 2015,18.6,N/A,N/A,citrus,high acidity
Pfaffl Austrian Rose 2015,18.6,N/A,N/A,berry,high acidity
Pfaffl Austrian Peach 2015,18.6,N/A,N/A,stone fruit,high acidity
Pfaffl Austrian Nut,18.6,N/A,N/A,citrus,high acidity
Pfaffl Austrian Banana 2015,18.6,N/A,N/A,tropical fruit,N/A
Pfaffl Austrian Elder 2015,18.6,N/A,N/A,fruity,N/A
Pfaffl Austrian Cherry 2015,18.6,N/A,N/A,berry,high acidity
Pfaffl Austrian Sunshine 2015,18.6,N/A,N/A,N/A,high acidity
Pfaffl Austrian Pepper 2015,18.6,light body,N/A,citrus,high acidity
Southbrook Connect Organic White VQA,13.95,N/A,N/A,stone fruit,high acidity
Kellerei St. Magdalena Pinot Grigio 2017,18.95,light body,N/A,stone fruit,high acidity
Woodbridge By Robert Mondavi White Zinfandel,11.25,N/A,N/A,N/A,low acidity
Brights Maria Christina White,14.95,N/A,N/A,citrus,low acidity
Brights Maria Christina Red,15.75,N/A,N/A,N/A,low acidity
Henry Of Pelham Pinot Grigio VQA,14.95,N/A,N/A,stone fruit,high acidity
Funckenhausen La Espera Reserva Cabernet Sauvignon 2013,23.25,light body,N/A,berry,N/A
Francois Lurton Sauvignon Blanc Bordeaux AOC,13.0,N/A,N/A,citrus,high acidity
Funckenhausen Red Blend 2015,19.2,N/A,N/A,fruity,low acidity
Zonin Prosecco Brut 1821 DOC,15.05,N/A,N/A,citrus,low acidity
Castello Del Poggio Moscato,13.95,N/A,N/A,stone fruit,low acidity
Dereszla Tokaji Furmint Dry 2015,18.2,N/A,N/A,stone fruit,high acidity
The Prince Cabernet Sauvignon 2015,18.4,N/A,N/A,berry,N/A
The Prince Pinotage 2015,18.45,N/A,N/A,berry,N/A
Christo's Paddock Cabernet Sauvignon 2013,49.55,N/A,medium tannins,fruity,N/A
Fielding Pinot Gris 2017,21.95,N/A,N/A,N/A,N/A
Fielding Estate Bottled Riesling 2017,19.95,N/A,N/A,N/A,N/A
Wolf Blass Yellow Label Cabernet Sauvignon,16.95,N/A,N/A,berry,N/A
Lindemans Cawarra Shiraz Cabernet,9.95,full body,N/A,berry,N/A
Ode Panos Spiropoulos Mantina 2014,30.1,light body,N/A,tropical fruit,low acidity
Casa Montes Don Baltazar Malbec 2013,19.6,N/A,N/A,fruity,N/A
Casa Montes Alzamora Syrah 2013,33.5,N/A,N/A,fruity,low acidity
Casa Montes Don Baltazar Cabernet Franc 2013,19.6,light body,N/A,N/A,N/A
Bougrier Vouvray Chenin Blanc,16.35,full body,N/A,stone fruit,N/A
Luccarelli Primitivo Puglia IGT,10.45,medium body,N/A,berry,N/A
Santa Rita Reserve Cabernet Sauvignon,14.75,full body,N/A,fruity,N/A
Martini Dry Vermouth White,8.5,N/A,N/A,N/A,high acidity
Martini & Rossi Asti,14.5,light body,N/A,stone fruit,low acidity
