Wine,Price,Body,Tannins,Fruit,Acid
Jackson-Triggs Reserve Merlot VQA,14.25,N/A,N/A,berry,N/A
Sandbanks Dunes White VQA,12.95,N/A,N/A,stone fruit,high acidity
Sandbanks Baco Noir VQA,15.95,N/A,N/A,fruity,high acidity
Moet & Chandon Imperial Champagne,23.65,N/A,N/A,citrus,high acidity
Brights Pale Dry Select,9.25,N/A,N/A,citrus,N/A
Nederburg The Winemaster's Cabernet Sauvignon,13.95,N/A,N/A,berry,low acidity
Rocca delle Macìe Riserva Chianti,15.95,N/A,N/A,berry,N/A
Reif Estate Riesling VQA,13.95,medium body,N/A,citrus,N/A
Mezzomondo Negroamaro Puglia IGT,17.95,full body,N/A,fruity,N/A
Chevallier Chablis 2017,26.95,N/A,N/A,N/A,N/A
Alvear Fino Montilla-Morilles,14.0,N/A,N/A,N/A,high acidity
Alvear Medium Dry Montilla-Moriles,14.0,N/A,N/A,citrus,N/A
Konzelmann Cabernet Sauvignon Reserve VQA,14.95,N/A,N/A,berry,high acidity
Beringer Main & Vine Pinot Grigio,10.95,N/A,N/A,citrus,N/A
Beringer Main & Vine Cabernet Sauvignon,10.95,medium body,low tannins,fruity,N/A
Concha Y Toro Frontera Sauvignon Blanc,14.95,N/A,N/A,citrus,N/A
Markus Molitor Kinheimer Hubertuslay Riesling Auslese 2013,154.35,full body,high tannins,tropical fruit,N/A
Borges Ruby Port Reserve,19.7,N/A,N/A,berry,high acidity
Borges White Port Reserve,19.45,N/A,N/A,N/A,high acidity
Inniskillin Icewine (2x375) Icewine Glasses Offer,99.9,N/A,N/A,stone fruit,N/A
Concha Y Toro Frontera Cabernet Sauvignon,8.95,N/A,N/A,berry,N/A
Barón de Ley Rosé 2017,14.95,N/A,N/A,N/A,N/A
Azienda Agraria Campanella Sangiovese Riserva 2010,28.6,N/A,N/A,berry,N/A
Azienda Agraria Campanella Soviano Regale 2011,17.9,N/A,low tannins,fruity,N/A
Lindemans Bin 45 Cabernet Sauvignon,11.95,N/A,N/A,berry,N/A
Aldonza Classico 2007,27.5,N/A,N/A,berry,N/A
Fuzion Chenin Chardonnay,8.95,N/A,N/A,stone fruit,low acidity
Chateau Larose Trintaudon 2014,18.0,full body,N/A,fruity,high acidity
Taylor Fladgate 10-Year-Old Tawny Port,31.95,medium body,N/A,N/A,N/A
Obikwa Shiraz,18.0,medium body,N/A,berry,N/A
Georges Duboeuf Beaujolais-Villages,14.95,N/A,low tannins,berry,low acidity
The Beachhouse Sauvignon Blanc,10.95,N/A,N/A,citrus,high acidity
Henkell Trocken,12.95,N/A,N/A,N/A,N/A
Cavallina Grillo Pinot Grigio,9.95,N/A,N/A,citrus,low acidity
Konzelmann Canada Red VQA,13.95,N/A,N/A,N/A,N/A
Norman Hardie County Unfiltered Pinot Noir,45.2,N/A,N/A,N/A,N/A
Sibling Rivalry White VQA,14.95,N/A,N/A,stone fruit,high acidity
Sibling Rivalry Red VQA,14.95,N/A,N/A,berry,low acidity
Porcupine Ridge Sauvignon Blanc 2017,15.95,N/A,N/A,N/A,N/A
The Foreign Affair Riesling 2013,23.95,N/A,N/A,citrus,high acidity
Fuzion Organic Malbec Cabernet,12.95,N/A,N/A,berry,N/A
L'Epayrie Special Reserve Rouge,14.95,N/A,N/A,berry,high acidity
La Chamiza Polo Professional Cabernet Sauvignon 2017,15.95,N/A,N/A,berry,N/A
Big Sky Pinot Noir 2013,40.75,light body,medium tannins,fruity,high acidity
Meiomi Pinot Noir,21.95,N/A,medium tannins,N/A,N/A
Tawse Growers Blend Pinot Noir,24.95,N/A,N/A,berry,N/A
Featherstone Red Tail Merlot 2017,17.95,N/A,N/A,N/A,N/A
XOXO Pinot Grigio Chardonnay,18.95,N/A,N/A,N/A,N/A
Candor Lot 7 Zinfandel,21.95,N/A,N/A,N/A,N/A
La Spinona Bricco Faset Barbaresco 2013,50.0,light body,N/A,N/A,N/A
Ogier Cotes Du Ventoux Rose AOC,14.75,light body,N/A,citrus,low acidity
Cesari Adesso Chardonnay,14.95,full body,N/A,tropical fruit,N/A
Open Cab 2 Merlot VQA,13.45,N/A,N/A,berry,N/A
Open Riesling Gewürztraminer VQA,12.95,N/A,N/A,stone fruit,high acidity
Paul Dolan Cabernet Sauvignon 2015,31.95,N/A,high tannins,berry,N/A
Kaiken Leyenda Ultra Cabernet Sauvignon 2016,19.95,full body,N/A,berry,high acidity
Fuzion Alta Reserve Malbec,9.95,N/A,N/A,N/A,N/A
Pelee Island Pinot Noir VQA,12.95,N/A,N/A,berry,low acidity
Pelee Island Gewüztraminer,11.95,N/A,N/A,stone fruit,low acidity
Pelee Island Chardonnay VQA,12.45,N/A,N/A,citrus,low acidity
Campo Viejo Rioja Reserva,18.45,N/A,N/A,berry,N/A
Château la Croix de Queynac 2015,16.95,N/A,N/A,N/A,high acidity
Sandbanks Riesling VQA,14.95,N/A,N/A,stone fruit,low acidity
Bulls Blood Merlot-Keikfrankos,11.95,N/A,N/A,berry,N/A
Open Merlot VQA,13.45,N/A,N/A,berry,N/A
Zuccardi Q Cabernet Sauvignon 2015,19.95,N/A,medium tannins,N/A,N/A
Donatien Bahuaud Les Grands Mortiers Vouvray 2017,21.95,N/A,N/A,N/A,N/A
Sogrape Gazela Vinho Verde,9.95,light body,N/A,citrus,low acidity
KrimSekt Semi-Sweet Red Sparkling 2013,19.95,N/A,N/A,N/A,N/A
Majella The Musician Cabernet/Shiraz,20.15,light body,N/A,berry,N/A
Lindemans Bin 65 Chardonnay,9.45,medium body,N/A,tropical fruit,high acidity
Wakefield Jaraman Cabernet Sauvignon 2015,24.95,N/A,high tannins,berry,N/A
J.P. Chenet Pinot Noir Reserve VdFrance,13.95,N/A,N/A,berry,low acidity
Megalomaniac My Way Chardonnay 2016,24.95,light body,N/A,citrus,high acidity
Small Gully The Formula Robert's Shiraz,20.95,full body,N/A,fruity,N/A
Cusumano Nero D'Avola Terre Siciliane IGT,13.95,N/A,N/A,berry,low acidity
Fantini Farnese Negroamaro Puglia IGP,9.35,medium body,low tannins,N/A,N/A
Spinelli Cabernet Sauvignon,8.45,N/A,N/A,berry,N/A
Montecillo Rioja DOCa Crianza,14.95,full body,low tannins,berry,N/A
Konzelmann Shiraz VQA,14.95,N/A,N/A,N/A,low acidity
Wayne Gretzky No. 99 Riesling VQA,14.95,N/A,N/A,stone fruit,high acidity
Mission Hill Five Vineyards Sauvignon Blanc VQA,16.75,medium body,N/A,tropical fruit,N/A
